Ano,Mês,Ano Mês,Dias com Precipitação,Precipitação,Pressão,Temperatura,Vento Máx,Vento Méd,Residencial,Industrial,Comercial,Rural,Poder Público,Iluminação Pública,Serviço Público,Consumo Próprio,Consumo,Consumo Médio,Rlin
2015,06,2015-06,12.0,152.29729729729732,982.203095837838,15.187444297297299,8.472972972972974,2.4356631081081086,399201.99999999994,21535.0,63214.0,849160.0,53087.00000000001,630974.0,239707.0,55431.0,2312310.0,2482008.0472361105,2480784.3876009015
2015,07,2015-07,16.89189189189189,212.25945945945946,981.4603742972971,14.656566297297298,8.364864864864865,2.425949324324324,383985.99999999994,30493.0,65289.0,810977.0,54633.0,656946.0,233674.0,54583.0,2290581.0,2482008.0472361105,2480972.6429293957
2015,08,2015-08,9.891891891891891,109.35135135135137,979.570340945946,18.450122243243243,9.332432432432432,2.965225648648649,397416.9999999999,36081.0,64836.0,838941.5,52715.0,648568.0,238529.0,57067.0,2334154.5,2482008.0472361105,2481160.8982578893
2015,09,2015-09,12.72972972972973,169.8486486486486,978.4110571621619,16.563277864864865,9.778378378378378,2.8149591621621624,388872.99999999994,33084.0,63319.0,813656.0,52357.000000000015,612225.0,238691.0,54321.0,2256526.0,2482008.0472361105,2481349.153586383
2015,10,2015-10,15.0,260.71891891891886,978.7471551891892,17.84800291891892,10.456756756756755,3.1884279729729728,396328.99999999994,38799.0,59844.0,779468.2,51106.0,622335.0,229201.0,54573.0,2231655.2,2482008.0472361105,2481537.408914877
2015,11,2015-11,13.864864864864865,156.38378378378377,976.4282004594594,19.559457891891896,9.545945945945949,3.097165270270271,403872.0000000001,18245.0,62991.0,807709.9,51930.99999999999,619684.0,239976.0,55172.0,2259580.9000000004,2482008.0472361105,2481725.6642433708
2015,12,2015-12,14.594594594594595,273.90810810810814,975.9496571621621,21.951360756756756,10.013513513513512,2.831768081081081,427428.00000000006,22582.0,65616.0,782933.2,58119.0,617656.0,289424.0,54359.0,2318117.2,2482008.0472361105,2481913.9195718644
2016,01,2016-01,9.18918918918919,122.91351351351346,975.9885872702702,23.876903459459456,8.481081081081081,2.7879822702702706,488904.0,28189.0,65854.0,661115.41,63736.0,798408.0,420127.0,58247.0,2584580.41,2482008.0472361105,2482102.174900358
2016,02,2016-02,11.64864864864865,143.0378378378378,976.2597105945946,23.86717783783784,8.237837837837837,2.4691830540540542,481190.0,33965.0,62024.0,766839.7,63615.0,759636.0,509072.0,57101.0,2733442.7,2482008.0472361105,2482290.430228852
2016,03,2016-03,14.702702702702704,217.31891891891894,978.9443694324324,21.04801010810811,8.883783783783787,2.6788747297297295,474929.0,39922.0,66533.0,808353.0,68458.0,731266.0,450648.0,56268.0,2696377.0,2482008.0472361105,2482478.685557346
2016,04,2016-04,15.135135135135135,209.90810810810817,978.0145859189188,21.08445167567568,8.94594594594595,2.636531108108109,462774.0,37022.0,64967.0,836234.6,69987.0,687554.0,351079.0,57048.0,2566665.6,2482008.0472361105,2482666.9408858395
2016,05,2016-05,13.378378378378379,98.03783783783784,981.6290396216217,15.44822681081081,7.8108108108108105,2.3657934054054053,418798.0,24223.0,66095.0,808784.3,64218.0,675276.0,323734.0,56600.0,2437728.3,2482008.0472361105,2482855.1962143336
2016,06,2016-06,10.91891891891892,54.394594594594594,982.9265395405406,13.33711518918919,7.664864864864866,2.101845459459459,372756.0,32263.0,65924.0,814126.7,60878.0,691962.0,288857.0,56114.0,2382880.7,2482008.0472361105,2483043.4515428273
2016,07,2016-07,12.35135135135135,133.65405405405406,981.4198442432435,14.095825864864866,9.086486486486486,2.5495098918918933,374636.0,31339.0,66330.0,818703.9,62862.0,695974.0,278434.0,56479.0,2384757.9,2482008.0472361105,2483231.706871321
2016,08,2016-08,12.08108108108108,124.05945945945946,981.8377224594595,14.722924054054054,8.997297297297298,2.5210214594594595,366845.0,30869.0,68232.0,821032.0,58214.0,661583.0,275579.0,55114.0,2337468.0,2482008.0472361105,2483419.962199815
2016,09,2016-09,9.864864864864865,65.11891891891894,982.8197824594595,14.607562567567571,9.786486486486485,2.8091991351351346,370145.0,24640.0,64764.0,820208.1,58713.0,633688.0,282156.0,56451.0,2310765.1,2482008.0472361105,2483608.2175283087
2016,10,2016-10,13.27027027027027,230.0540540540541,978.9341091081081,17.783095729729727,10.751351351351351,3.274611054054054,360479.0,24764.0,67281.0,775972.6,54310.0,611864.0,274818.0,54774.0,2224262.6,2482008.0472361105,2483796.4728568024
2016,11,2016-11,10.108108108108109,121.44324324324326,978.0452607567565,19.979060324324326,10.267567567567568,2.907390054054055,384033.0,28788.0,64033.0,781848.3,56131.0,618041.0,294845.0,55406.0,2283125.3,2482008.0472361105,2483984.728185296
2016,12,2016-12,12.81081081081081,132.48108108108107,976.0898091621623,22.646227,8.95945945945946,2.8908565135135142,448949.0,27423.0,70473.0,777471.4,64581.0,707473.0,424656.0,57980.0,2579006.4,2482008.0472361105,2484172.98351379
2017,01,2017-01,13.513513513513514,159.54054054054052,976.8660148648648,23.299496567567566,8.670270270270269,2.711496243243243,486438.0,12209.0,67152.0,687174.1,64869.0,812573.0,494091.0,58936.0,2683442.1,2482008.0472361105,2484361.238842284
2017,02,2017-02,13.135135135135135,146.1621621621622,976.6182024324323,23.593754918918926,8.372972972972972,2.4852782432432434,478731.0,16012.0,60935.0,782445.0,63502.0,756618.0,491306.0,57094.0,2706643.0,2482008.0472361105,2484549.4941707775
2017,03,2017-03,11.972972972972974,167.3945945945946,978.7714838108107,21.751680135135132,8.816216216216215,2.7905764054054054,500669.0,29505.0,68885.0,846857.7,71765.0,830359.0,448735.0,59600.0,2856375.7,2482008.0472361105,2484737.7494992716
2017,04,2017-04,12.567567567567568,198.01081081081082,980.3484906486486,18.461208081081086,9.094594594594595,2.8850411351351353,456482.0,17584.0,65942.0,857675.3,67311.0,676044.0,374567.0,58507.0,2574112.3,2482008.0472361105,2484926.0048277653
